"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Deonte Harty","BAL","3.2","37.5","0.2","0.0","0.0","0.0","0.0","7.9"
"River Cracraft","MIA","1.7","19.5","0.1","0.0","0.0","0.0","0.0","4.4"
"Kyle Philips","TEN","1.7","19.6","0.1","0.0","0.0","0.0","0.0","4.1"
"Chris Moore","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben Skowronek","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DJ Turner","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Hodgins","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Erik Ezukanma","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
